episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.1736280000041006,True,False
2,490.0,722,1107,0.1,0.023762568715028465,1.3611966250027763,True,False
3,1160.0,552,1659,0.1,0.027421492252935845,7.130542250000872,True,False
4,920.0,714,2373,0.1,0.031123966202673152,13.85494941700017,True,False
5,1090.0,589,2962,0.1,0.03740719352139249,19.68928424999467,True,False
6,300.0,414,3376,0.1,0.03367172016386086,23.79830349999247,True,False
7,290.0,520,3896,0.1,0.03565816598442884,28.100512208999135,True,False
8,580.0,675,4571,0.1,0.03391369788524961,33.313034000006155,True,False
9,570.0,503,5074,0.1,0.0379137216424126,38.0111349170038,True,False
10,980.0,782,5856,0.1,0.038076848090431485,45.175633834005566,True,False
11,650.0,555,6411,0.1,0.041459954880258956,49.191711584004224,True,False
12,480.0,513,6924,0.1,0.039333007890413434,53.88137108400406,True,False
13,960.0,824,7748,0.1,0.03903333598282188,61.279144667001674,True,False
14,320.0,456,8204,0.1,0.03895493133377545,65.57536954199895,True,False
15,390.0,428,8632,0.1,0.038470342139513274,68.71059600000444,True,False
16,570.0,507,9139,0.1,0.044213797889709,73.65042529199854,True,False
17,700.0,592,9731,0.1,0.044961518541960094,78.27440166700399,True,False
18,1330.0,794,10525,0.1,0.046433132701090084,86.0336200419988,True,False
19,820.0,593,11118,0.1,0.04837739574911727,89.6673309589969,True,False
20,360.0,533,11651,0.1,0.04979913318844834,94.18220437499986,True,False
21,660.0,967,12618,0.1,0.05067247946742799,103.13020174999838,True,False
22,580.0,691,13309,0.1,0.04944558184717733,108.88900749999448,True,False
23,740.0,757,14066,0.1,0.04389855538608221,116.13869300000079,True,False
24,500.0,586,14652,0.1,0.04397615443180208,120.34548962500412,True,False
25,290.0,380,15032,0.1,0.03993430804265173,123.64951866699266,True,False
